seed,n_nodes,e_proba,max_weight,u_prop,f_prop,strat,weight_sum,n_entro,gini,imb_ratio,prop_sim
655,50,0.1,10,0.5,0.5,minority,149,0.9885754083994552,0.6580591420241566,1.4285714285714286,0.7369614512471656
655,50,0.1,10,0.5,0.5,p_weights,175,0.9783466075400694,0.6501736111111112,1.6153846153846154,0.8261154855643045
655,50,0.1,10,0.5,0.5,kruskal,138,0.9256858892072268,0.6122448979591837,2.7777777777777777,0.9470570837030464
655,50,0.1,100,0.1,0.9,p_fixed,1562,0.3886238526699903,0.2190753852561432,43.0,0.8764769065520945
655,50,0.1,100,0.1,0.9,p_dynamic,1035,0.522669600188868,0.3115368596418159,20.000000000000004,0.945578231292517
655,50,0.1,100,0.1,0.9,minority,1340,-0.0,0.0,1.0,1.0
655,50,0.1,100,0.1,0.9,p_weights,1280,0.5494543049688067,0.4131944444444444,2.4285714285714284,0.7551282051282051
655,50,0.1,100,0.1,0.9,kruskal,1236,0.467276983006206,0.2838541666666666,40.00000000000001,0.8988095238095237
655,50,0.1,100,0.2,0.8,p_fixed,1316,0.7151485327986883,0.4914618908788005,15.500000000000002,0.8782093482554313
655,50,0.1,100,0.2,0.8,p_dynamic,1229,0.4605892125609515,0.3248646397334444,3.9,0.9052695705147732
655,50,0.1,100,0.2,0.8,minority,1294,0.6962925649812469,0.5064556434818825,28.0,0.7727784026996625
655,50,0.1,100,0.2,0.8,p_weights,1052,0.8115556228359727,0.546438983756768,7.0,0.7678571428571428
655,50,0.1,100,0.2,0.8,kruskal,1286,0.693697157685071,0.46875,16.0,0.7794117647058824
655,50,0.1,100,0.3,0.7,p_fixed,1104,0.8866659859911136,0.5947521865889213,4.0,0.9874658524827252
655,50,0.1,100,0.3,0.7,minority,1303,0.9061123133113932,0.6047480216576426,3.428571428571429,0.698890082348729
655,50,0.1,100,0.3,0.7,p_weights,1273,0.9625196080005624,0.641399416909621,2.0,0.8248735391592534
655,50,0.1,100,0.3,0.7,kruskal,1424,0.6700902683382319,0.4464806330695543,17.0,0.8864384463462804
655,50,0.1,100,0.4,0.6,p_fixed,1138,0.9783466075400696,0.6501736111111112,1.6153846153846154,0.8712121212121211
655,50,0.1,100,0.4,0.6,p_dynamic,1047,0.8901326988687256,0.5980841316118284,3.8333333333333335,0.9297052154195012
655,50,0.1,100,0.4,0.6,minority,1387,0.974024062068808,0.648896293211162,1.7272727272727273,0.7750204081632653
655,50,0.1,100,0.4,0.6,p_weights,973,0.9492027299468924,0.6293402777777778,2.3,0.931159420289855
655,50,0.1,100,0.4,0.6,kruskal,1467,0.8981588786900048,0.5963541666666666,3.571428571428572,0.9115013774104684
655,50,0.1,100,0.5,0.5,p_fixed,1065,0.9783466075400696,0.6501736111111112,1.6153846153846154,0.943702290076336
655,50,0.1,100,0.5,0.5,p_dynamic,1307,0.9849150325955788,0.6553819444444444,1.5384615384615383,0.8497267759562842
655,50,0.1,100,0.5,0.5,minority,1334,0.9965119062478288,0.6640625,1.2,0.6822033898305084
